Date,Sales Units(in Millions)
1/1/2019,16.97
2/1/2019,16.962
3/1/2019,17.842
4/1/2019,16.968
5/1/2019,17.967
6/1/2019,17.781
7/1/2019,17.682
8/1/2019,17.882
9/1/2019,17.72
10/1/2019,17.049
11/1/2019,17.549
12/1/2019,17.491
1/1/2020,16.893
2/1/2020,17.088
3/1/2020,11.836
4/1/2020,8.944
5/1/2020,12.508
6/1/2020,13.47
7/1/2020,15.225
8/1/2020,15.932
9/1/2020,16.739
10/1/2020,16.613
11/1/2020,16.352
12/1/2020,16.972
1/1/2021,16.697
2/1/2021,16.124
3/1/2021,18.496
4/1/2021,18.697
5/1/2021,17.466
6/1/2021,15.903
7/1/2021,15.207
8/1/2021,13.765
9/1/2021,12.722
10/1/2021,13.181
11/1/2021,13.484
12/1/2021,13.166
1/1/2022,14.866
2/1/2022,14.168
3/1/2022,14.253
4/1/2022,14.681
5/1/2022,13.286
6/1/2022,13.669
7/1/2022,13.867
8/1/2022,14.064
9/1/2022,14.136
10/1/2022,15.091
11/1/2022,14.733
12/1/2022,13.935
1/1/2023,15.665
2/1/2023,15.434
3/1/2023,15.668
4/1/2023,16.446
5/1/2023,15.948
6/1/2023,16.428
7/1/2023,16.302
8/1/2023,15.909
9/1/2023,16.193
10/1/2023,15.799
11/1/2023,15.945
12/1/2023,16.386
1/1/2024,15.513
2/1/2024,16.191
